简称,全名,基准价,跳蚤价,商人收购价,收购商人,差价
管理员钥匙,公寓管理员钥匙,53000,700000,33390,Therapist,666610
2A2-(b-TG),2A2-(b-TG)兴奋剂注射器,87460,55000,55099,Therapist,-99
“明眼”,“明眼”迫击炮袭告警装置,10000,0,0,无,0
传奇奖章,传奇奖章,900000,7000000,567000,Therapist,6433000
装备箱（稀有）,上锁的装备箱（稀有）,0,0,0,无,0
武器箱（稀有）,上锁的武器箱（稀有）,0,0,0,无,0
物资箱（稀有）,上锁的物资箱（稀有）,0,0,0,无,0
Den,Den 小人,75000,48000,47250,Therapist,750
贵重物品箱（稀有）,上锁的贵重物品箱（稀有）,0,0,0,无,0
Reshala,Reshala 小人,100000,62000,63000,Therapist,-1000
Killa,Killa 小人,100000,67000,63000,Therapist,4000
Tagilla,Tagilla 小人,100000,78888,63000,Therapist,15888
装备箱（稀有）,已解锁的装备箱（稀有）,0,0,0,无,0
武器箱（稀有）,已解锁的武器箱（稀有）,0,0,0,无,0
物资箱（稀有）,已解锁的物资箱（稀有）,0,0,0,无,0
贵重物品箱（稀有）,已解锁的贵重物品箱（稀有）,0,0,0,无,0
装备箱（特等）,上锁的装备箱（特等）,0,0,0,无,0
武器箱（特等）,上锁的武器箱（特等）,0,0,0,无,0
物资箱（特等）,上锁的物资箱（特等）,0,0,0,无,0
贵重物品箱（特等）,上锁的贵重物品箱（特等）,0,0,0,无,0
装备箱（特等）,已解锁的装备箱（特等）,0,0,0,无,0
武器箱（特等）,已解锁的武器箱（特等）,0,0,0,无,0
物资箱（特等）,已解锁的物资箱（特等）,0,0,0,无,0
贵重物品箱（特等）,已解锁的贵重物品箱（特等）,0,0,0,无,0
贵重物品箱（普通）,已解锁的贵重物品箱（普通）,0,0,0,无,0
装备箱（普通）,已解锁的装备箱（普通）,0,0,0,无,0
武器箱（普通）,已解锁的武器箱（普通）,0,0,0,无,0
物资箱（普通）,已解锁的物资箱（普通）,0,0,0,无,0
装备箱（普通）,上锁的装备箱（普通）,0,0,0,无,0
武器箱（普通）,上锁的武器箱（普通）,0,0,0,无,0
物资箱（普通）,上锁的物资箱（普通）,0,0,0,无,0
贵重物品箱（普通）,上锁的贵重物品箱（普通）,0,0,0,无,0
GF MLOK,BCM GUNFIGHTER MOD 3 M-LOK前握把（黑色）,4623,44444,2588,Mechanic,41856
GF MLOK,BCM GUNFIGHTER MOD 3 M-LOK前握把（FDE）,4623,20000,2588,Mechanic,17412
Gamma箱,Gamma安全箱,1850000,0,0,无,0
BEAR,BEAR 狗牌,900,100000,567,Therapist,99433
BEAR,BEAR 狗牌,900,500000,567,Therapist,499433
USEC,USEC 狗牌,900,1000000,567,Therapist,999433
USEC,USEC 狗牌,900,199999,567,Therapist,199432
绊线,绊线布设装置,24642,0,13799,Mechanic,0
UZI PRO Pistol,IWI UZI PRO Pistol 9x19冲锋枪,19523,38000,10932,Mechanic,27068
PA 114毫米,UZI PRO 9x19 Pike Arms 114毫米螺纹枪管,7573,8000,4543,Jaeger,3457
A3 MLOK,UZI PRO A3 Tactical M-LOK护木,6845,9999,3833,Mechanic,6166
UZI PRO,UZI PRO 9x19 20发弹匣,1054,1000,590,Mechanic,410
PRO防尘盖,UZI PRO防尘盖,5260,10000,2945,Mechanic,7055
PRO稳定带,UZI PRO稳定带,3641,6000,2184,Jaeger,3816
UZI PRO,UZI PRO 9x19 25发弹匣,1243,696,696,Mechanic,0
UZI PRO,UZI PRO 9x19 32发弹匣,1562,2999,874,Mechanic,2125
PRO 114毫米,UZI PRO 9x19 114毫米枪管,4325,10000,2595,Jaeger,7405
PRO 170毫米,UZI PRO 9x19 170毫米枪管,5673,12000,3403,Jaeger,8597
PRO 210毫米,UZI PRO 9x19 210毫米枪管,6573,80000,3943,Jaeger,76057
PRO 240毫米,UZI PRO 9x19 240毫米枪管,6872,55555,4123,Jaeger,51432
PRO螺纹帽,UZI PRO 9x19枪管螺纹帽,375,700,210,Mechanic,490
PRO螺纹保护器,UZI PRO 9x19 Masada螺纹保护器,472,0,264,Mechanic,0
A3稳定带,UZI PRO A3战术模块化折叠稳定带,4352,1111,2611,Jaeger,-1500
A3枪托转换器,UZI PRO A3战术枪托转换器,856,45000,513,Jaeger,44487
PRO底托,UZI PRO SBR底托,2350,3333,1410,Jaeger,1923
PRO盖板,UZI PRO背部盖板,754,20999,452,Jaeger,20547
UZI PRO冲锋枪,IWI UZI PRO SMG 9x19冲锋枪,22415,32000,12552,Mechanic,19448
SMG导轨转换器,UZI PRO SMG导轨转换器,1230,22222,738,Jaeger,21484
沙漠之鹰Mk XIX,Magnum Research “沙漠之鹰”Mk XIX .50 AE手枪,43500,100000,24360,Mechanic,75640
沙鹰,沙漠之鹰.50 AE 7发弹匣,1349,19999,755,Mechanic,19244
沙鹰握把,Hogue沙漠之鹰橡胶握把,2957,696,1655,Mechanic,-959
沙鹰照门,沙漠之鹰照门,653,652,365,Mechanic,287
沙鹰准星,沙漠之鹰准星,565,564,316,Mechanic,248
XIX 152毫米,沙漠之鹰Mk XIX .50 AE 152毫米枪管,2725,99999,1635,Jaeger,98364
沙鹰套筒,沙漠之鹰Mk XIX手枪套筒,4055,49999,2270,Mechanic,47729
FMJ,.50 AE FMJ,824,500,461,Mechanic,39
Twitch,Twitch 2024夏季掉宝（普通）,0,0,0,无,0
Twitch,Twitch 2024夏季掉宝（稀有）,0,0,0,无,0
Twitch,Twitch 2024夏季掉宝（特等）,0,0,0,无,0
UZI 238毫米,UZI 238毫米3-lug螺纹枪管,6454,33333,3872,Jaeger,29461
UZI 259毫米,UZI 9x19 259毫米枪管,5153,30000,3091,Jaeger,26909
UZI 409毫米,UZI 9x19 409毫米枪管,6536,29999,3921,Jaeger,26078
UZI护木,UZI聚合物护木,3415,3000,1912,Mechanic,1088
UZI导轨,UZI护木导轨,864,0,518,Jaeger,0
UZI瞄具基座,UZI StormWerkz瞄具基座,3298,22222,1978,Jaeger,20244
UZI BRN,UZI 9x19枪管螺纹帽,351,10000,196,Mechanic,9804
UZI 3lug,UZI 9x19枪管3-lug螺纹帽,446,0,249,Mechanic,0
UZI螺纹,UZI 9x19枪管3-lug螺纹保护器,400,0,224,Mechanic,0
Type 7,UZI Type 7底托,1847,1846,1108,Jaeger,738
Type 3,UZI Type 3底托,1847,80000,1108,Jaeger,78892
Type 5,UZI Type 5底托,1847,20000,1108,Jaeger,18892
Type 6,UZI Type 6底托,1847,1750,1108,Jaeger,642
UZI,UZI 9x19标准20发弹匣,997,50000,558,Mechanic,49442
UZI,UZI 9x19标准25发弹匣,1154,3000,646,Mechanic,2354
UZI,UZI 9x19标准32发弹匣,1425,15999,798,Mechanic,15201
UZI,UZI 9x19标准40发弹匣,1950,177777,1092,Mechanic,176685
UZI,UZI 9x19标准50发弹匣,2412,33888,1350,Mechanic,32538
UZI,IWI UZI 9x19冲锋枪,16322,50000,9140,Mechanic,40860
UZI枪托转换器,UZI StormWerkz枪托转接器,1847,25000,1108,Jaeger,23892
UZI导轨护木,UZI StormWerkz低导轨护木,1000,9999,600,Jaeger,9399
K型握把,UZI K型握把护木,5123,35000,2868,Mechanic,32132
UZI握把护木,UZI握把导轨,5463,90000,3059,Mechanic,86941
UZI排气罩,UZI枪管排气罩,7685,5000,4303,Mechanic,697
UZI消音器,UZI 9x19毫米消音器,44100,59533,24696,Mechanic,34837
UZI握把盖板,UZI手枪式握把盖板,985,0,551,Mechanic,0
0.93英寸M-LOK,Magpul M-LOK 0.93英寸导轨,1000,50000,600,Jaeger,49400
PRO CSM,UZI PRO CSM枪托转换器,1065,10000,639,Jaeger,9361
沙漠之鹰L6,Magnum Research “沙漠之鹰”L6 .50 AE手枪,41142,27777,23039,Mechanic,4738
沙漠之鹰L6,Magnum Research “沙漠之鹰”L6 .50 AE手枪（白色虎纹）,45631,140420,25553,Mechanic,114867
沙漠之鹰L5,Magnum Research “沙漠之鹰”L5 .50 AE手枪,40124,12000,22469,Mechanic,-10469
沙漠之鹰L5,Magnum Research “沙漠之鹰”L5 .357 手枪,38674,54776,21657,Mechanic,33119
沙鹰,沙漠之鹰.359 9发弹匣,1243,19999,696,Mechanic,19303
L6 152毫米,沙漠之鹰L6 .50 AE 152毫米枪管,2423,50420,1453,Jaeger,48967
L6 152毫米,沙漠之鹰L6 .50 AE 152毫米枪管（白色虎纹）,3452,55000,2071,Jaeger,52929
L5 127毫米,沙漠之鹰L5 .50 AE 127毫米枪管,1933,0,1159,Jaeger,0
L5 127毫米,沙漠之鹰L5 .357 Ae 127毫米枪管,1957,24900,1174,Jaeger,23726
L6套筒,沙漠之鹰L6手枪套筒,3957,0,2215,Mechanic,0
L5 .50套筒,沙漠之鹰L5 AE手枪套筒,3109,0,1741,Mechanic,0
L5 .357,沙漠之鹰L5 .357手枪套筒,3794,0,2124,Mechanic,0
L6套筒,沙漠之鹰L6手枪套筒（白色虎纹）,5412,55000,3030,Mechanic,51970
JHP,.50 AE JHP,213,200,119,Mechanic,81
铜弹,.50 AE实心铜弹,435,400,243,Mechanic,157
Hawk JSP,.50 AE Hawk JSP,176,250,98,Mechanic,152
沙鹰凹槽握把,沙漠之鹰Houge凹槽橡胶握把,3012,69950,1686,Mechanic,68264
Twitch,Twitch 2024夏季掉宝（普通）,0,0,0,无,0
Twitch,Twitch 2024夏季掉宝（普通）,0,0,0,无,0
Twitch,Twitch 2024夏季掉宝（稀有）,0,0,0,无,0
Twitch,Twitch 2024夏季掉宝（稀有）,0,0,0,无,0
Twitch,Twitch 2024夏季掉宝（特等）,0,0,0,无,0
Twitch,Twitch 2024夏季掉宝（特等）,0,0,0,无,0
Partizan,Partizan的包,36856,100000,22850,Ragman,77150
Twitch,Twitch 2024夏季掉宝（普通）,0,0,0,无,0
Twitch,Twitch 2024夏季掉宝（稀有）,0,0,0,无,0
Twitch,Twitch 2024夏季掉宝（特等）,0,0,0,无,0
绷带枪托,AK镂空枪托（定制版）,3641,50000,2184,Jaeger,47816
化工厂,TerraGroup 仓库钥匙卡,850000,19999999,535500,Therapist,19464499
UZI 默认,IWI UZI 9x19冲锋枪 默认,29498,50000,16516,Mechanic,33484
UZI PRO Pistol 默认,IWI UZI PRO Pistol 9x19冲锋枪 默认,31291,44999,17521,Mechanic,27478
UZI PRO冲锋枪 默认,IWI UZI PRO SMG 9x19冲锋枪 默认,35531,31111,19895,Mechanic,11216
Mk 43 Mod 1 默认,U.S Ordnance M60E4 7.62x51轻机枪 默认,143717,80000,80475,Mechanic,-475
M60E6 默认,U.S Ordnance M60E6 7.62x51轻机枪（FDE） 默认,200411,95000,112225,Mechanic,-17225
M60E6 默认,U.S Ordnance M60E6 7.62x51轻机枪 默认,158583,108999,88801,Mechanic,20198
SR-3M 默认,SR-3M 9x39紧凑型突击步枪 默认,100408,90000,56225,Mechanic,33775
沙漠之鹰L5 默认,Magnum Research “沙漠之鹰”L5 .357 手枪 默认,49898,54777,27939,Mechanic,26838
沙漠之鹰L5 默认,Magnum Research “沙漠之鹰”L5 .50 AE手枪 默认,50745,15000,28414,Mechanic,-13414
沙漠之鹰L6 默认,Magnum Research “沙漠之鹰”L6 .50 AE手枪 默认,53101,24000,29732,Mechanic,-5732
沙漠之鹰L6 默认,Magnum Research “沙漠之鹰”L6 .50 AE手枪（白色虎纹） 默认,60074,44444,33638,Mechanic,10806
沙漠之鹰Mk XIX 默认,Magnum Research “沙漠之鹰”Mk XIX .50 AE手枪 默认,55804,19000,31247,Mechanic,-12247
M4A1 T.O 2K24,柯尔特 M4A1 5.56x45 卡宾枪 T.O 2K24,318233,1000000,178205,Mechanic,821795
MDR T.O 2K24,沙漠科技 MDR 7.62x51 突击步枪 T.O 2K24,262854,500000,147193,Mechanic,352807
MCX .300 BLK T.O 2K24,SIG MCX .300 AAC Blackout 突击步枪 T.O 2K24,218198,185000,122187,Mechanic,62813
Tamatthi,Tamatthi 苦无飞刀（仿制品）,85643,50000,53955,Therapist,-3955
Viibiin,Viibiin运动鞋,56745,45000,35749,Therapist,9251
Inseq,Inseq燃气管扳手,37573,25555,23670,Therapist,1885
Tri-Zip,Camelbak Tri-Zip背包（多地形迷彩）,61325,59888,38021,Ragman,21867
ReadyPack,Vertx Ready Pack背包（红色）,12152,50000,7534,Ragman,42466
BAC Bastion,Ballistic Armor Co. Bastion头盔（黑色）,69444,125000,43055,Ragman,81945
BAC Bastion,Ballistic Armor Co. Bastion头盔（橄榄绿）,65823,58888,40810,Ragman,18078
BAC Bastion,Ballistic Armor Co. Bastion头盔（多地形迷彩）,62412,95888,38695,Ragman,57193
Liberator,Safariland Liberator HP 2.0听力保护耳机（泥土色）,42345,47500,26253,Ragman,21247
ComTac V,Peltor ComTac V耳机（橄榄绿）,64535,139000,40011,Ragman,98989
ComTac VI,Peltor ComTac VI 耳机（棕褐色）,72548,599999,44979,Ragman,555020
ComTac V,TW EXFIL Peltor ComTac V耳机（橄榄绿）,61308,750000,38010,Ragman,711990
ComTac VI,TW EXFIL Peltor ComTac VI 耳机（棕褐色）,68920,444443,42730,Ragman,401713
SD mod.2,Stich Profi Stich Defense mod.2防弹插板胸挂（多用途迷彩）,155126,160000,96178,Ragman,63822
TT MKIII,Tasmanian Tiger MKIII 插板胸挂（棕褐色）,132155,77777,81936,Ragman,-4159
SP PC V2,Stich Profi V2 插板胸挂（黑色）,54042,70000,33506,Ragman,36494
SP PC V2 默认,Stich Profi V2 插板胸挂（黑色） 默认,34860,69999,53442,Ragman,16557
SD mod.2 默认,Stich Profi Stich Defense mod.2防弹插板胸挂（多用途迷彩） 默认,147090,500000,182612,Ragman,317388
主播物品,主播物品箱,1,200,0,无,0
浪人,Devtac 浪人防弹头盔,55553,22000,34442,Ragman,-12442
信号弹（蓝）,信号弹（蓝）,74,0,41,Mechanic,0
蓝,RSP-30 反应式信号弹（蓝色）,10000,500000,0,无,0
特种黄,RSP-30 反应式信号弹（特种黄）,10000,100000,5600,Mechanic,94400
雷达站,雷达站备用零件,50000,999999,31500,Therapist,968499
KOSA,KOSA无人机电子反制装置,50000,999999,31500,Therapist,968499
电子战装置,GARY ZONT “保护伞”便携式电子战装置,150000,999999,94500,Therapist,905499
V40,V40 微型手榴弹,8020,17999,4010,Prapor,13989
AA-12 Gen 1,MPS Auto Assault-12 Gen 1 12铅径自动霰弹枪,44513,58888,26707,Jaeger,32181
AA-12,AA-12 12铅径 8发弹匣,5625,100000,3150,Mechanic,96850
AA-12 330mm,AA-12 12 铅径 330 毫米枪管,9487,9000,5692,Jaeger,3308
AA-12,AA-12 枪托套组,8713,50000,5227,Jaeger,44773
RE-SCAR,FN SCAR Vltor RE-SCAR 枪托转接器,7239,88888,4343,Jaeger,84545
RE-SCAR,FN SCAR Vltor RE-SCAR 枪托转接器（爱国棕）,7018,99000,4210,Jaeger,94790
RSA-SCAR,FN SCAR JMac Customs RSA-SCAR 1913 转接器,4238,35555,2542,Jaeger,33013
VSS-11,FN SCAR Vltor VSS-11 聚合物枪托,11205,20000,6723,Jaeger,13277
VSS-11,FN SCAR Vltor VSS-11 聚合物护木（爱国棕）,10987,200000,6592,Jaeger,193408
MREX 6.5 M-LOK,FN SCAR Kinetic MREX 6.5 M-LOK 导轨 (FDE),9981,29000,5988,Jaeger,23012
PMM 下导轨,FN SCAR PMM M-LOK 下导轨,1427,1111,856,Jaeger,255
PMM 下导轨,FN SCAR PMM M-LOK 下导轨 (FDE),1395,50000,837,Jaeger,49163
MRE XL,FN SCAR PMM MRE XL 延长导轨,5465,18000,3279,Jaeger,14721
MRE XL,FN SCAR PMM MRE XL 延长导轨 (FDE),5212,19999,3127,Jaeger,16872
PMM REP,FN SCAR PMM 侧导轨盖板,2520,1111,1512,Jaeger,-401
PMM REP,FN SCAR PMM 侧导轨盖板 (FDE),2460,55000,1476,Jaeger,53524
PMM 侧轨,FN SCAR PMM M-LOK 侧导轨,1237,10000,742,Jaeger,9258
PMM 侧轨,FN SCAR PMM M-LOK 侧导轨 (FDE),1208,20000,724,Jaeger,19276
CASV-SCAR,FN SCAR Vltor CASV-SCAR 护木,8513,39999,5107,Jaeger,34892
CASV-SCAR,FN SCAR Vltor CASV-SCAR 护木（爱国棕）,8513,20000,5107,Jaeger,14893
CASV-SCAR,FN SCAR Vltor CASV-SCAR 加长护木,5355,35000,3213,Jaeger,31787
CASV-SCAR,FN SCAR Vltor CASV-SCAR 加长护木（爱国棕）,5355,50000,3213,Jaeger,46787
SR-3MP DT,SR-3MP 燕尾槽侧导轨（黑色）,1752,5555,1051,Jaeger,4504
SR-3MP DT,SR-3MP 燕尾槽侧导轨（黑红色）,1723,100000,1033,Jaeger,98967
SR-3MP 侧轨,SR-3MP 侧导轨（黑色）,1253,1350,751,Jaeger,599
SR-3MP 侧轨,SR-3MP 侧导轨（黑红色）,1231,90000,738,Jaeger,89262
"HKey 3""",HK HKey 3 英寸导轨,1053,1300,631,Jaeger,669
G36K KAC,HK G36 KAC 四面导轨护木,9523,28000,5332,Mechanic,22668
G36 Slim Line,HK G36 Slim Line HKey 护木,7245,20000,4057,Mechanic,15943
G36 TB,HK G36 Tommy Built AR 枪托转接器,5329,4500,3197,Jaeger,1303
疫苗,TG-Vi-24致命疫苗,0,0,0,无,0
真 · 疫苗,TG-Vi-24正版疫苗,0,0,0,无,0
访问密钥,装有特殊程序的U盘,0,0,0,无,0
AA-12,AA-12 12 铅径 20发弹鼓,12532,100000,7017,Mechanic,92983
AA-12 457mm,AA-12 12 铅径 457 毫米枪管,15987,33333,9592,Jaeger,23741
AA-12 342mm,AA-12 12 铅径 342 毫米螺纹枪管,10473,23000,6283,Jaeger,16717
AA-12 417mm,AA-12 12 铅径 417 毫米螺纹枪管,14468,50000,8680,Jaeger,41320
保护帽,AA-12 螺纹保护帽,456,1000,255,Mechanic,745
收束器,AA-12 12 铅径收束器,2953,10999,1653,Mechanic,9346
AA-12,AA-12 枪托套组 (FDE),8713,50000,5227,Jaeger,44773
UTG USBM,Leapers UTG 通用霰弹枪枪管夹具,2874,2888,1724,Jaeger,1164
生活区,TerraGroup 实验室生活区钥匙卡 ,165000,266666,103950,Therapist,162716
G36 IDZ,HK G36 IDZ 伸缩式枪托,8679,28888,5207,Jaeger,23681
IDZ 凸,HK G36 IDZ 凸缘枪托垫,3992,50000,2395,Jaeger,47605
IDZ 凹,HK G36 IDZ 凹缘枪托垫,2394,11111,1436,Jaeger,9675
A3 Vltor,Steyr AUG A3 Vltor 5.56x45 机匣,21512,27000,12046,Mechanic,14954
A3 CD,Steyr AUG A3 Corvus Defensio 机匣导轨（MOI 30 齿）,1947,20000,1168,Jaeger,18832
CD KM,Steyr AUG Corvus Defensio KeyMod 前端附件导轨,1542,49999,925,Jaeger,49074
"CD 1.8""",Corvus Defensio KeyMod 1.8 英寸导轨,982,81130,589,Jaeger,80541
"CD 6.8""",Corvus Defensio KeyMod 6.8 英寸导轨,1353,40000,811,Jaeger,39189
K-Pod,Odin Works K-Pod KeyMod 脚架转接器,1248,9998,748,Jaeger,9250
AI Harris,AI AXMC KeySlot Harris 脚架基座,1573,16500,943,Jaeger,15557
M-LOK BP,Magpul M-LOK 脚架基座,1102,3000,661,Jaeger,2339
AA-12 Gen 2,MPS Auto Assault-12 Gen 2 12铅径自动霰弹枪,46527,350000,27916,Jaeger,322084
AUG A3,Steyr AUG A3 5.56x45 突击步枪（黑色）,31000,67130,17360,Mechanic,49770
AUG,Steyr AUG 垂直前握把（黑色）,2135,30000,1195,Mechanic,28805
AA-12 LABS,AA-12 枪托套组 (TerraGroup),12587,1500000,7552,Jaeger,1492448
AA-12 Gen 1 默认,MPS Auto Assault-12 Gen 1 12铅径自动霰弹枪 默认,68338,55555,38268,Mechanic,17287
AA-12 Gen 2 默认,MPS Auto Assault-12 Gen 2 12铅径自动霰弹枪 默认,71794,333333,40203,Mechanic,293130
AA-12 Gen 2 TerraGroup Labs,MPS Auto Assault-12 Gen 2 12铅径自动霰弹枪 TerraGroup Labs,104940,0,58764,Mechanic,0
AA-12 Gen 2,MPS Auto Assault-12 Gen 2 12铅径自动霰弹枪,80726,0,45205,Mechanic,0
Mk 17 Face,FN SCAR-H 7.62x51 突击步枪 (FDE) Face,210860,0,118078,Mechanic,0
Mk 17 Face,FN SCAR-H 7.62x51 突击步枪 (FDE) Face,219219,0,122760,Mechanic,0
AUG A3 默认,Steyr AUG A3 5.56x45 突击步枪（黑色） 默认,88235,99000,49411,Mechanic,49589
TRG M10,Sako TRG M10 .338 LM 栓动狙击步枪,25000,350000,15000,Jaeger,335000
TRG M10,Sako TRG M10 枪身,26600,80000,15960,Jaeger,64040
M10 .338LM,Sako TRG M10 .338 LM 枪栓套组,15500,20000,8680,Mechanic,11320
M10 .338LM,Sako TRG M10 .338 LM 机匣,6300,69420,3528,Mechanic,65892
M10 SM,Sako TRG M10 瞄准镜基座,2256,50000,1353,Jaeger,48647
"M10 23.5"" .338LM",Sako TRG M10 .338 LM 23.5 英寸枪管,61000,122222,36600,Jaeger,85622
"M10 15""",Sako TRG M10 15 英寸护木套组,15650,6666,8764,Mechanic,-2098
M10 衬垫,Sako TRG M10 前握把衬垫,2850,19990,1596,Mechanic,18394
M10 .338,Sako TRG M10 .338 LM 8 发弹匣,9700,49888,5432,Mechanic,44456
TRG short,Sako TRG 短款导轨,1033,20000,619,Jaeger,19381
TRG med,Sako TRG 中等长度导轨,1777,100000,1066,Jaeger,98934
M10 hook,Sako TRG M10 枪托抵肩尾钩,12500,25000,7000,Mechanic,18000
SL7i-BL .338,Ase Utra SL7i-BL BoreLock .338 LM 消音器,88000,49000,49280,Mechanic,-280
PGM .338,Sako TRG PGM Precision .338 LM 消音器,74400,74950,41664,Mechanic,33286
Hekate DT .338,CGS Hekate DT .338 LM 消音器,79500,129999,44520,Mechanic,85479
BoreLock .338,Ase Utra BoreLock .338 LM 膛口制退器,19500,188887,10920,Mechanic,177967
BoreLock 护帽,Ase Utra BoreLock 螺纹保护帽,745,50000,417,Mechanic,49583
TRG 护帽,Sako TRG .338 LM 螺纹保护帽,400,200,224,Mechanic,-24
CoreBrake .338,Sako TRG Coretac CoreBrake .338 LM 枪口制退器,5995,7000,3357,Mechanic,3643
TRG .338,Sako TRG 22/42/M10 .338 LM 狙击步枪枪口制退器,3997,22222,2238,Mechanic,19984
"M10 20"" .338LM",Sako TRG M10 .338 LM 20英寸枪管,63500,110000,38100,Jaeger,71900
"M10 27"" .338LM",Sako TRG M10 .338 LM 27英寸枪管,63000,80000,37800,Jaeger,42200
"M10 11""",Sako TRG M10 11英寸护木组件,19800,49800,11088,Mechanic,38712
"M10 15"" M-LOK",Sako TRG M10 M-LOK 15英寸护木组件,22300,40000,12488,Mechanic,27512
箱子,开启的箱子,100000,0,0,无,0
违禁品,违禁品盒子,52000,800000,32760,Therapist,767240
密封的盒子,密封的盒子,52000,855555,32760,Therapist,822795
盒子,开启的盒子,100000,0,0,无,0
锁住的箱子,锁住的箱子,52000,999999,32760,Therapist,967239
ShG-2,ShG-2 反人员火箭弹,155338,0,86989,Mechanic,0
箱子钥匙,箱子钥匙,32524,29999,20490,Therapist,9509
RUSH 100,5.11 Tactical RUSH 100 背包（黑色）,122397,455555,75886,Ragman,379669
LBT-1476A,LBT-1476A 3 日行军背包 (高原复合迷彩),28500,72500,17670,Ragman,54830
6B47 EMRA,6B47 Ratnik-BSh 头盔（极地数码迷彩盔罩）,35675,46000,22118,Ragman,23882
Bank Robber,Spiritus Systems Bank Robber 胸挂 (高原复合迷彩),8200,66000,5084,Ragman,60916
PP19 F5,PP-19-01 9x19 F5 MFG 50 发弹鼓,12456,45555,6975,Mechanic,38580
Vel HG,“迅猛龙”聚合物护木,5367,13333,3005,Mechanic,10328
迅猛龙 .300 BLK,Aklys Defense 迅猛龙 .300 Blackout 突击步枪,63453,50000,35533,Mechanic,14467
鲨,“鲨鱼”推刃匕首,28040,100000000,16824,Jaeger,99983176
6B13 圣诞,6B13 M 突击甲（圣诞特装版）,208541,25000000,129295,Ragman,24870705
Terraframe,Mystery Ranch Terraframe 背包（橄榄绿）,49550,55000,30721,Ragman,24279
Terraframe 圣诞版,Mystery Ranch Terraframe 背包（圣诞特装版）,59460,1000000,36865,Ragman,963135
Titan 四轨,SOK-12 Chaos Titan 四面导轨护木,15539,500000,8701,Mechanic,491299
Titan QRTC,SOK-12 Chaos Titan 四面导轨护木顶盖,10241,230000,6144,Jaeger,223856
Titan TR,SOK-12 Chaos Titan 机匣上导轨,9876,189999,5925,Jaeger,184074
Chaos RS,Chaos 仿 HK 式照门,1245,11400,697,Mechanic,10703
Chaos FS,Chaos 仿 HK 式准星,964,11900,539,Mechanic,11361
MD Arms,SOK-12 12 铅径 MD Arms 20 发弹鼓,29534,33333,16539,Mechanic,16794
Saiga-12K FA,Saiga-12K 12 铅径自动霰弹枪,34639,50000,20783,Jaeger,29217
PNV-57E,PNV-57E 夜视仪,12970,15500,7782,Jaeger,7718
B.A.D.,AR-15 Magpul B.A.D. 辅助释放杆,5180,34999,2900,Mechanic,32099
酸黄瓜,一罐酸黄瓜,93435,2888888,58864,Therapist,2830024
沙拉,盒装奥利维耶沙拉,152521,400000,96088,Therapist,303912
燃料,40 度特殊燃料,123525,444444,77820,Therapist,366624
SHYSHKA,SHYSHKA 圣诞树续命药水,86634,500000,54579,Therapist,445421
FLUX,MTEK FLUX 防弹头盔（高原复合迷彩）,97711,33333,60580,Ragman,-27247
FLUX,MTEK FLUX 防弹头盔（橄榄绿）,97525,75000,60465,Ragman,14535
STRIKE,MTEK STRIKE 防弹头盔（灰褐色）,102334,37000,63447,Ragman,-26447
STRIKE,MTEK STRIKE 防弹头盔（灰褐/荒漠复合迷彩）,103241,56000,64009,Ragman,-8009
Maska-1SCh 圣诞,Maska-1SCh 防弹头盔（圣诞特装版）,67397,60000000,41786,Ragman,59958214
海报,What You Seek 海报,100000,0,0,无,0
海报,I Bear Loot 海报,100000,0,0,无,0
海报,女郎海报,50000,30000,31000,Ragman,-1000
海报,女郎海报,50000,45000,31000,Ragman,14000
海报,女郎海报,50000,20000,31000,Ragman,-11000
海报,女郎海报,50000,179111,31000,Ragman,148111
海报,女郎海报,80000,0,49600,Ragman,0
海报,特殊女郎海报,100000,288888,62000,Ragman,226888
海报,竞技场海报,35000,75655,21700,Ragman,53955
海报,野牛 vs 复仇者海报,80000,5000000,49600,Ragman,4950400
海报,竞技场海报,80000,179000,49600,Ragman,129400
海报,Killa 与 Tagilla 海报,100000,10000000,62000,Ragman,9938000
海报,Alex Green 海报,30000,24444,18600,Ragman,5844
海报,奇怪物语海报,80000,90000,49600,Ragman,40400
海报,TerraGroup 实验室招募广告,50000,99999,31000,Ragman,68999
海报,Geneburn 音乐会广告,100000,98000,62000,Ragman,36000
海报,《流亡之路》海报,50000,70000,31000,Ragman,39000
海报,《狼窝》海报,50000,39500,31000,Ragman,8500
海报,末日高速海报,50000,34000,31000,Ragman,3000
海报,《赴汤蹈火》海报,50000,32000,31000,Ragman,1000
海报,《惊天枪战》海报,50000,20000,31000,Ragman,-11000
海报,《末路航班》海报,50000,33000,31000,Ragman,2000
海报,《骇人影片》海报,50000,30000,31000,Ragman,-1000
海报,《瓦西里》海报,50000,250000,31000,Ragman,219000
海报,“RUN”海报,80000,80000,49600,Ragman,30400
海报,《神射手》海报,80000,65000,49600,Ragman,15400
海报,《伏击现场》海报,80000,75000,49600,Ragman,25400
海报,《猎物》海报,100000,60000,62000,Ragman,-2000
海报,USEC 海报,50000,77777,31000,Ragman,46777
雷区,雷区地图（储备站）,1,0,0,无,0
雷区,雷区地图（灯塔）,1,0,0,无,0
雷区,雷区地图（森林）,1,0,0,无,0
暗号,写有暗号“Voron”的纸条,1,0,0,无,0
暗号,写有暗号“Onyx”的纸条,1,0,0,无,0
